id,name,address,birthdate,nationality,ownership_percentage,type
967,Joseph Cunningham,"31195 Everett Plains Apt. 552
Garciaport, FM 63754",1960-03-27,Liechtenstein,19.91,Company
968,James Roberson,"16291 Reese Ferry
New Nancybury, IN 02240",2006-08-12,Netherlands,79.03,Person
969,Michael Brady,"77618 Brandi Drives
South Edwardfort, CA 99428",1926-03-22,Djibouti,3.91,Company
970,Eric Hensley,"6937 Evans Fields Suite 425
Woodsfort, FM 19178",1983-08-11,Benin,18.4,Person
971,Sean Duke,"14359 Kathleen Stream Apt. 740
Taylorhaven, NC 71420",1929-05-30,Isle of Man,66.79,Company
972,Teresa Calhoun,"602 Munoz Club Suite 160
Gabrielfurt, FM 87243",2000-10-12,Afghanistan,21.95,Company
973,Elizabeth Gibson,"4402 Lee Station Apt. 174
Fitzpatrickton, DC 63528",1953-06-16,Belize,48.83,Company
974,Brandon Smith,"811 Kimberly Row Suite 916
South Ericport, KY 96767",1993-05-12,Uruguay,51.35,Company
975,Peter Bernard,"9634 Prince Expressway Suite 089
Port Brianburgh, VT 05641",1938-02-21,Suriname,21.95,Company
976,Brooke Griffin,"USNV Montgomery
FPO AE 78709",1950-05-08,Saudi Arabia,51.95,Person
977,Ann King,"999 Rachel Tunnel Apt. 909
Adamsmouth, AS 72583",1989-03-19,Cote d'Ivoire,39.89,Company
978,Norman Waters,"108 Keith Plains Apt. 344
Perezborough, OH 74663",2000-06-07,Lao People's Democratic Republic,6.97,Person
979,Kevin Blake,"518 David Fork Suite 322
East Leebury, VT 59838",1952-02-07,French Southern Territories,65.63,Person
980,Lauren Brown,"5002 Little Ford
Chavezfurt, CT 65738",1919-12-11,Macao,60.3,Company
981,Eric Collins,"12630 Felicia Bridge Apt. 209
Kiddview, AZ 92543",1955-02-21,Gambia,94.97,Company
982,Matthew Garcia,"3899 Jacqueline Isle
New Rachel, CT 72387",2002-11-30,Saint Martin,14.33,Person
983,Nicole Duke,"6589 Adkins Points
East Michele, AK 87837",1984-09-23,Spain,95.74,Company
984,Brandon Brown,"58737 Mcgee Ferry Apt. 518
Solisville, IN 93494",1944-03-08,Thailand,39.99,Person
985,Steven Cooper,"980 Glenn Trail
Ericahaven, MS 63997",1999-11-09,South Georgia and the South Sandwich Islands,39.61,Person
986,Stacey Williams,"148 Molly Flat
Ericberg, VA 52308",1920-07-08,Saudi Arabia,43.37,Company
987,Michael Rivera,"480 Savage Lake Apt. 894
South Gabriel, CT 63475",1933-06-03,Northern Mariana Islands,48.31,Company
988,Susan Johnson,"4934 Davis Drive Apt. 960
New Jessicamouth, PW 04700",1910-10-27,Saint Helena,10.17,Person
989,Kimberly Watson,"USS Armstrong
FPO AP 28790",1929-06-19,French Polynesia,65.75,Company
990,Richard Turner,"865 Johnson Dam
New Heatherchester, NJ 02811",1980-10-18,Turks and Caicos Islands,40.86,Company
991,Amber Francis,"8942 Lacey Tunnel Suite 224
Port Juliemouth, PR 99375",1962-10-04,Dominican Republic,85.44,Person
992,Shelby Macdonald,"8272 Gonzales Stravenue Suite 102
Ortiztown, NJ 15848",1976-07-18,Cayman Islands,45.71,Person
993,Melissa Cole,"778 Hawkins Junction Apt. 152
Knappport, RI 86042",1973-04-13,Iceland,97.23,Company
994,Jimmy Watson,"57394 Hawkins Villages Apt. 658
Lake Donald, WI 90514",1960-10-25,Saint Lucia,93.04,Person
995,Clarence Williams,"958 Bryan Ford
Watkinsville, AS 09948",1909-01-13,Venezuela,63.38,Company
996,Jamie Jackson,"Unit 3698 Box 5272
DPO AA 52670",1969-01-08,Comoros,71.53,Person
997,Danielle Cruz,"485 Johnson Street Suite 228
Sandrafurt, AR 52905",1988-05-25,China,51.49,Company
998,Ryan Nelson,"50131 Nicholas Isle Apt. 376
Dianebury, TN 68227",2012-08-22,Bahamas,73.91,Person
999,Laura Richards,"8070 Jones Meadows
Derekview, GA 41992",1919-08-08,Senegal,43.22,Company
1000,Mrs. Angelica Carpenter DDS,"49700 Christine Falls Apt. 712
Morrisport, MH 51625",2011-11-24,Trinidad and Tobago,56.67,Company
